Shop ID,Shopname,Meli id,Item Title,Promo Price,Link,L1 Category,buckt,meds,buckt_meds,score,score_medida,Item ID shopee,Item Title shopee,Shop ID shopee,Shopname shopee,L1 Category shopee,item_price shopee,price shopee,Promo Price shopee,link shopee
5291026762,VERA,v23053097776,Barbeador Eletrico Portatil A Prova D'agua De Dupla Finalidade Tipo c De Carga Rapida Aparador De Barba De Bolso,27.4,https://br.shein.com//Electric-Shavers-p-17243972-cat-4503.html?mallCode=2,Beauty,<40,nan,<400,84,,22933497602,Mini Barbeador Elétrico Portátil À Prova D'água Uso Duplo Úmido Seco Tipo c Aparador De Barba De Bolso De Carregamento Rápido,949023788,allkindsofbags.br,Beauty,27.9,1368.37,27.9,https://www.shopee.com.br/product/949023788/22933497602
9152463397,tangshop eletronicos,h22111288669,Maquina de cortar cabelo sem fio profissional Aparador Barbeiro Recarregavel maquininha de barbear,27.59,https://br.shein.com//Men-Grooming-Machines-p-12145226-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,80,,18367365592,máquina de cortar cabelo elétrica máquina corte cabelo barbeiro profissional recarregável Sem Fio,743205175,WEB ELETRONICA,Beauty,27.7368,109.99,27.7368,https://www.shopee.com.br/product/743205175/18367365592
1618761318,CLOSET INTIMO,i23052380222,Ceroula Minhocao Masculino Mash,54.38,https://br.shein.com//Men-Thermal-Underwear-Bottoms-p-16732163-cat-4320.html?mallCode=2,nan,<80,nan,<800,100,,17324847565,Ceroula Masculino Mash Minhocao,223945701,Closet intimo,Beauty,52.38,52.38,52.38,https://www.shopee.com.br/product/223945701/17324847565
3186171703,HUG STORE,b23013056562,zhijun zhang Tesoura Tesourinha Garca Cortar Unha Sobrancelha Cortador Cilios Multiuso Resistente,12.21,https://br.shein.com//zhijun-zhang-Nail-Art-Tools-p-12864250-cat-3679.html?mallCode=2,Beauty,<20,nan,<200,80,,18053570953,Tesoura Tesourinha Garça Cortar Unha Sobrancelha Cortador Cilios,305234794,Shopping.de.maquiagem.barato,Beauty,14.66,28.0,14.66,https://www.shopee.com.br/product/305234794/18053570953
4945578885,Digital Santa,b23031206318,Maquina De Barbear tirar pelo nariz Cortar Cabelo fazer pezinho barbeador eletrico kemei 3x1 Recarregavel,51.56,https://br.shein.com//Men-Grooming-Machines-p-13770729-cat-3864.html?mallCode=2,Beauty,<80,nan,<800,100,,20396927057,Maquina De Barbear tirar pelo nariz Cortar Cabelo fazer pezinho barbeador elétrico kemei 3x1 Recarregável,998162146,konoha oficial,Beauty,49.99,59.99,49.99,https://www.shopee.com.br/product/998162146/20396927057
4945578885,Digital Santa,b23031549293,Maquina de barbear Barbeador eletrico sem fio recarregavel Kemei Classic Shaver Km 2024 - Bivolt,61.91,https://br.shein.com//Men-Grooming-Machines-p-13874190-cat-3864.html?mallCode=2,Beauty,<80,nan,<800,100,,18955364237,Maquina de barbear Barbeador elétrico sem fio recarregável Kemei Classic Shaver Km 2024 - Bivolt,513496187,máquina de cortar cabelo.br,Beauty,73.6,139.046,73.6,https://www.shopee.com.br/product/513496187/18955364237
5637484078,tudos venda,e22121422042,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil,24.8,https://br.shein.com//Men-Grooming-Machines-p-12484742-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,96,,19258212574,USB T9 Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,885843809,KIKI beleza,Beauty,33.0,44.0,33.0,https://www.shopee.com.br/product/885843809/19258212574
5907347475,Ton Eletronicos,e22101825389,Ton Eletronicos TOON Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil,25.65,https://br.shein.com//Ton-Eletr-nicos-Men-Grooming-Machines-p-11795605-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,89,,19258212574,USB T9 Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,885843809,KIKI beleza,Beauty,33.0,44.0,33.0,https://www.shopee.com.br/product/885843809/19258212574
5907347475,Ton Eletronicos,e22102583196,Ton Eletronicos Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil Cabeleireiro,28.01,https://br.shein.com//Ton-Eletr-nicos-Men-Grooming-Machines-p-11833731-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,84,,19258212574,USB T9 Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,885843809,KIKI beleza,Beauty,33.0,44.0,33.0,https://www.shopee.com.br/product/885843809/19258212574
5907347475,Ton Eletronicos,e22102588666,Ton Eletronicos Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil Cabeleireiro Faz Desenho,26.2,https://br.shein.com//Ton-Eletr-nicos-Men-Grooming-Machines-p-11832240-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,80,,19258212574,USB T9 Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,885843809,KIKI beleza,Beauty,33.0,44.0,33.0,https://www.shopee.com.br/product/885843809/19258212574
9852462625,HHSHOP_BRASIL,h23052965611,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil Potente,27.64,https://br.shein.com//Toothbrush-p-17405854-cat-3348.html?mallCode=2,Home & Living,<40,nan,<400,92,,19258212574,USB T9 Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,885843809,KIKI beleza,Beauty,33.0,44.0,33.0,https://www.shopee.com.br/product/885843809/19258212574
9152463397,tangshop eletronicos,h22111288669,Maquina de cortar cabelo sem fio profissional Aparador Barbeiro Recarregavel maquininha de barbear,27.59,https://br.shein.com//Men-Grooming-Machines-p-12145226-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,87,,14893031350,"Máquina Elétrica De Corta Cabelo, Aparador De Barba /Profissional Barbeador Sem Fio Recarregável Para Masculino",461633669,MAX MO (Atacado & Varejo),Beauty,31.99111111,91.98,31.99111111,https://www.shopee.com.br/product/461633669/14893031350
1424716658,fada das flores,b22110245505,"Tesourinha tesoura para unhas metal, sobrancelha, cilios",4.78,https://br.shein.com//Brows-Lash-Tools-p-11914211-cat-3670.html?mallCode=2,Beauty,<10,nan,<100,84,,21654626145,Tesoura Tesourinha Cortar Unha Sobrancelha Cílios Cortador,362859393,ALFA MERCEARIA.BR,Beauty,6.537345133,20.0,6.537345133,https://www.shopee.com.br/product/362859393/21654626145
4945578885,Digital Santa,b23031206318,Maquina De Barbear tirar pelo nariz Cortar Cabelo fazer pezinho barbeador eletrico kemei 3x1 Recarregavel,51.56,https://br.shein.com//Men-Grooming-Machines-p-13770729-cat-3864.html?mallCode=2,Beauty,<80,nan,<800,81,,19254675220,máquina de barbear kemei 3x1 fazer pezinho barba tirar pelo nariz sem fio recarregável kemei 3 em 1,283834866,ZARKE.BR,Beauty,51.99,68.0,51.99,https://www.shopee.com.br/product/283834866/19254675220
6632190369,Alissa,b23032540001,Alissa Mini Barbeador Eletrico Portatil Aparador De Barba Lavavel Homens Navalha USB-BM-A020,24.86,https://br.shein.com//Alissa-Men-Grooming-Machines-p-14207518-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,92,,19773676235,Mini Barbeador Elétrico Portátil Aparador De Barba Lavável Homens Navalha Usb,362859393,ALFA MERCEARIA.BR,Beauty,28.88,70.0,28.88,https://www.shopee.com.br/product/362859393/19773676235
3186171703,HUG STORE,b23013056562,zhijun zhang Tesoura Tesourinha Garca Cortar Unha Sobrancelha Cortador Cilios Multiuso Resistente,12.21,https://br.shein.com//zhijun-zhang-Nail-Art-Tools-p-12864250-cat-3679.html?mallCode=2,Beauty,<20,nan,<200,93,,23291260999,Tesoura Tesourinha Garça Cortar Unha Sobrancelha Cortador Cilios Multiuso Resistente,611978835,Habibi,Beauty,12.64,29.9,12.64,https://www.shopee.com.br/product/611978835/23291260999
1424716658,fada das flores,b22102502222,Navalhete Navalha Feminina Para Sobrancelha E Rosto,7.46,https://br.shein.com//Brows-Lash-Tools-p-11831916-cat-3670.html?mallCode=2,Beauty,<10,nan,<100,82,,22118956455,Kit C/3 Navalhete Navalha Feminina Para Sobrancelha E Rosto - Lâmina Fixa,938007878,XL Make Up,Beauty,7.159902913,10.0,7.159902913,https://www.shopee.com.br/product/938007878/22118956455
5637484078,tudos venda,e22121422042,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil,24.8,https://br.shein.com//Men-Grooming-Machines-p-12484742-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,100,,22228109114,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,872465390,MEGA VARIEDADES  ELETRONICOS,Beauty,25.11692308,69.99,25.11692308,https://www.shopee.com.br/product/872465390/22228109114
5907347475,Ton Eletronicos,e22101825389,Ton Eletronicos TOON Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil,25.65,https://br.shein.com//Ton-Eletr-nicos-Men-Grooming-Machines-p-11795605-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,89,,22228109114,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,872465390,MEGA VARIEDADES  ELETRONICOS,Beauty,25.11692308,69.99,25.11692308,https://www.shopee.com.br/product/872465390/22228109114
5907347475,Ton Eletronicos,e22102583196,Ton Eletronicos Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil Cabeleireiro,28.01,https://br.shein.com//Ton-Eletr-nicos-Men-Grooming-Machines-p-11833731-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,85,,22228109114,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,872465390,MEGA VARIEDADES  ELETRONICOS,Beauty,25.11692308,69.99,25.11692308,https://www.shopee.com.br/product/872465390/22228109114
